"hugo_gene"	"link"
"APP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=APP', target = '_blank'>GeneCards</a>"
"FGFR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1', target = '_blank'>GeneCards</a>"
"FGFR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2', target = '_blank'>GeneCards</a>"
"FGFR3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3', target = '_blank'>GeneCards</a>"
"FGFR4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR4', target = '_blank'>GeneCards</a>"
"KDR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR', target = '_blank'>GeneCards</a>"
"MAPT"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT', target = '_blank'>GeneCards</a>"
"CACNA1G"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1G', target = '_blank'>GeneCards</a>"
"CACNA1H"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1H', target = '_blank'>GeneCards</a>"
"CACNA1I"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1I', target = '_blank'>GeneCards</a>"
"PDE5A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE5A', target = '_blank'>GeneCards</a>"
"CYP19A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1', target = '_blank'>GeneCards</a>"
"PTPN1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1', target = '_blank'>GeneCards</a>"
"PTPN2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN2', target = '_blank'>GeneCards</a>"
"CSNK2A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A1', target = '_blank'>GeneCards</a>"
"CSNK2A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A2', target = '_blank'>GeneCards</a>"
"CSNK2B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2B', target = '_blank'>GeneCards</a>"
"HSP90AB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AB1', target = '_blank'>GeneCards</a>"
"PDE10A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE10A', target = '_blank'>GeneCards</a>"
"CHEK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK1', target = '_blank'>GeneCards</a>"
"HTR1A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1A', target = '_blank'>GeneCards</a>"
"HTR1B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1B', target = '_blank'>GeneCards</a>"
"HTR1D"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1D', target = '_blank'>GeneCards</a>"
"SLC6A4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4', target = '_blank'>GeneCards</a>"
"DYRK1A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1A', target = '_blank'>GeneCards</a>"
"DYRK1B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1B', target = '_blank'>GeneCards</a>"
"PRMT5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT5', target = '_blank'>GeneCards</a>"
"CCNC"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNC', target = '_blank'>GeneCards</a>"
"CDK8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK8', target = '_blank'>GeneCards</a>"
"EIF2AK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK3', target = '_blank'>GeneCards</a>"
"EIF2AK4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK4', target = '_blank'>GeneCards</a>"
"PIK3CD"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CD', target = '_blank'>GeneCards</a>"
"F10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=F10', target = '_blank'>GeneCards</a>"
"F2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=F2', target = '_blank'>GeneCards</a>"
"MAP2K1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1', target = '_blank'>GeneCards</a>"
"SCD"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SCD', target = '_blank'>GeneCards</a>"
"DHODH"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DHODH', target = '_blank'>GeneCards</a>"
"MTOR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR', target = '_blank'>GeneCards</a>"
"ESR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1', target = '_blank'>GeneCards</a>"
"ESR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2', target = '_blank'>GeneCards</a>"
"GSK3A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3A', target = '_blank'>GeneCards</a>"
"PARP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1', target = '_blank'>GeneCards</a>"
"ST14"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ST14', target = '_blank'>GeneCards</a>"
"TACR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TACR1', target = '_blank'>GeneCards</a>"
"GRM4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM4', target = '_blank'>GeneCards</a>"
"BACE1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1', target = '_blank'>GeneCards</a>"
"PDE9A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE9A', target = '_blank'>GeneCards</a>"
"MET"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MET', target = '_blank'>GeneCards</a>"
"NOS1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1', target = '_blank'>GeneCards</a>"
